result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,10.13,12/28/22 16:08:46,10.13,12/28/22 08:08:05,False,0.0
Code Vein,2019,3.59,12/28/22 16:08:46,3.59,12/28/22 08:08:05,False,0.0
Dragon Ball Z Kakarot,2020,8.85,12/28/22 16:08:48,8.85,12/28/22 08:08:07,False,0.0
Dragon Ball Z Kakarot A New Power Awakens Set,2020,6.08,12/28/22 16:08:48,6.08,12/28/22 08:08:07,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,22.65,12/28/22 16:08:48,22.65,12/28/22 08:08:07,False,0.0
Dragon Ball Z Kakarot Deluxe Edition,2020,15.74,12/28/22 16:08:48,15.74,12/28/22 08:08:07,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,18.9,12/28/22 16:08:50,18.9,12/28/22 08:08:09,False,0.0
Assassins Creed Valhalla Complete Edition,2022,49.86,12/28/22 16:08:52,49.86,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.52,12/28/22 16:08:52,11.52,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,24.95,12/28/22 16:08:52,17.03,12/28/22 08:08:11,False,7.919999999999998
Assassins Creed Valhalla Deluxe Edition,2021,18.54,12/28/22 16:08:52,18.54,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,18.06,12/28/22 16:08:52,18.06,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla,2020,11.4,12/28/22 16:08:52,11.4,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Ultimate Edition,2020,46.56,12/28/22 16:08:52,46.56,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Gold Edition,2020,31.74,12/28/22 16:08:52,31.74,12/28/22 08:08:11,False,0.0
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,22.59,12/28/22 16:08:52,22.59,12/28/22 08:08:11,False,0.0
Azure Striker Gunvolt 3,2022,6.07,12/28/22 16:08:54,6.07,12/28/22 08:08:13,False,0.0
Azure Striker Gunvolt 2,2016,5.05,12/28/22 16:08:54,5.05,12/28/22 08:08:13,False,0.0
Azure Striker Gunvolt,2014,4.05,12/28/22 16:08:54,4.05,12/28/22 08:08:13,False,0.0
Batman Arkham Collection,2018,6.94,12/28/22 16:08:56,6.94,12/28/22 08:08:14,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2020,10.35,12/28/22 16:08:58,10.35,12/28/22 08:08:16,False,0.0
Bayonetta,2009,7.27,12/28/22 16:08:58,7.25,12/28/22 08:08:16,False,0.019999999999999574
Forza Horizon 5 Hot Wheels,2022,11.47,12/28/22 16:09:00,11.48,12/28/22 08:08:18,True,-0.009999999999999787
Forza Horizon 5,2021,16.31,12/28/22 16:09:00,16.31,12/28/22 08:08:18,False,0.0
Forza Horizon 5 Deluxe Edition,2021,41.27,12/28/22 16:09:00,41.27,12/28/22 08:08:18,False,0.0
