result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,8.13,10/31/22 16:23:22,8.09,10/25/22 16:15:05,False,0.040000000000000924
Code Vein,2019,3.34,10/31/22 16:23:22,3.33,10/25/22 16:15:05,False,0.009999999999999787
Dragon Ball Z Kakarot,2020,3.74,10/31/22 16:23:24,3.73,10/25/22 16:15:07,False,0.010000000000000231
Dragon Ball Z Kakarot Ultimate Edition,2020,21.14,10/31/22 16:23:24,21.04,10/25/22 16:15:07,False,0.10000000000000142
Dragon Ball Z Kakarot Deluxe Edition,2020,13.86,10/31/22 16:23:24,13.79,10/25/22 16:15:07,False,0.07000000000000028
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.53,10/31/22 16:23:26,17.44,10/25/22 16:15:09,False,0.08999999999999986
Assassins Creed Valhalla Complete Edition,2022,36.57,10/31/22 16:23:28,36.39,10/25/22 16:15:11,False,0.17999999999999972
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.41,10/31/22 16:23:28,11.36,10/25/22 16:15:11,False,0.05000000000000071
Assassins Creed Valhalla Ragnarok Edition,2022,14.39,10/31/22 16:23:28,16.18,10/25/22 16:15:11,True,-1.7899999999999991
Assassins Creed Valhalla Deluxe Edition,2021,13.4,10/31/22 16:23:28,13.15,10/25/22 16:15:11,False,0.25
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.85,10/31/22 16:23:28,17.26,10/25/22 16:15:11,True,-0.41000000000000014
Assassins Creed Valhalla,2020,9.1,10/31/22 16:23:28,9.52,10/25/22 16:15:11,True,-0.41999999999999993
Assassins Creed Valhalla Gold Edition,2020,40.72,10/31/22 16:23:28,40.53,10/25/22 16:15:11,False,0.18999999999999773
Assassins Creed Valhalla Ultimate Edition,2020,43.35,10/31/22 16:23:28,43.15,10/25/22 16:15:11,False,0.20000000000000284
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,18.79,10/31/22 16:23:28,18.03,10/25/22 16:15:11,False,0.759999999999998
Azure Striker Gunvolt 3,2022,6.34,10/31/22 16:23:29,6.3,10/25/22 16:15:13,False,0.040000000000000036
Azure Striker Gunvolt 2,2016,2.98,10/31/22 16:23:29,2.96,10/25/22 16:15:13,False,0.020000000000000018
Azure Striker Gunvolt,2014,4.49,10/31/22 16:23:29,4.47,10/25/22 16:15:13,False,0.020000000000000462
Batman Arkham Collection,2018,8.52,10/31/22 16:23:31,9.44,10/25/22 16:15:15,True,-0.9199999999999999
Bayonetta Vanquish 10Th Anniversary Bundle,2020,16.28,10/31/22 16:23:32,13.36,10/25/22 16:15:17,False,2.9200000000000017
Bayonetta,2009,7.27,10/31/22 16:23:32,10.37,10/25/22 16:15:17,True,-3.0999999999999996
Forza Horizon 5 Hot Wheels,2022,7.92,10/31/22 16:23:34,8.03,10/25/22 16:15:18,True,-0.10999999999999943
Forza Horizon 5,2021,22.34,10/31/22 16:23:34,22.24,10/25/22 16:15:18,False,0.10000000000000142
Forza Horizon 5 Deluxe Edition,2021,30.59,10/31/22 16:23:34,26.61,10/25/22 16:15:18,False,3.9800000000000004
Forza Horizon 5 Premium Edition,2021,27.7,10/31/22 16:23:34,27.58,10/25/22 16:15:18,False,0.120000000000001
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.73,10/31/22 16:23:36,6.7,10/25/22 16:15:20,False,0.03000000000000025
Gunvolt Chronicles Luminous Avenger Ix,2019,7.69,10/31/22 16:23:36,7.65,10/25/22 16:15:20,False,0.040000000000000036
Immortals Fenyx Rising Gold Edition,2020,11.17,10/31/22 16:23:38,11.17,10/25/22 16:15:22,False,0.0
Gods Monsters,2020,6.59,10/31/22 16:23:38,6.56,10/25/22 16:15:22,False,0.03000000000000025
Lost Judgment,2021,18.69,10/31/22 16:23:39,18.6,10/25/22 16:15:24,False,0.08999999999999986
Lost Judgment Digital Deluxe Edition,2021,24.76,10/31/22 16:23:39,24.63,10/25/22 16:15:24,False,0.13000000000000256
Lost Judgment Digital Ultimate Edition,2021,52.84,10/31/22 16:23:39,52.59,10/25/22 16:15:24,False,0.25
Judgment,2018,7.08,10/31/22 16:23:39,7.07,10/25/22 16:15:24,False,0.009999999999999787
Gears Of War Juxxxxxx(dement),2013,5.2,10/31/22 16:23:39,5.21,10/25/22 16:15:24,True,-0.009999999999999787
Ni No Kuni Wrath Of The White Witch Remastered,2019,35.75,10/31/22 16:23:40,35.59,10/25/22 16:15:26,False,0.1599999999999966
Nier Replicant Ver 1 22474487139,2021,19.23,10/31/22 16:23:42,21.19,10/25/22 16:15:28,True,-1.9600000000000009
Nier Replicant,2010,49.75,10/31/22 16:23:42,51.57,10/25/22 16:15:28,True,-1.8200000000000003
Nierautomata Become As Gods Edition,2018,11.79,10/31/22 16:23:44,11.74,10/25/22 16:15:29,False,0.049999999999998934
No More Heroes Iii,2021,10.85,10/31/22 16:23:46,15.22,10/25/22 16:15:31,True,-4.370000000000001
Octopath Traveler,2018,17.36,10/31/22 16:23:47,17.27,10/25/22 16:15:33,False,0.08999999999999986
Ori And The Will Of The Wisps,2020,3.06,10/31/22 16:23:49,3.04,10/25/22 16:15:34,False,0.020000000000000018
Overcooked 2 Gourmet Edition,2020,1.21,10/31/22 16:23:50,1.13,10/25/22 16:15:36,False,0.08000000000000007
Overcooked 2 Night Of The Hangry Horde,2019,7.33,10/31/22 16:23:50,,,False,
Overcooked 2 Campfire Cook Off,2019,1.89,10/31/22 16:23:50,1.88,10/25/22 16:15:36,False,0.010000000000000009
Overcooked 2 2,2018,0.48,10/31/22 16:23:50,0.48,10/25/22 16:15:36,False,0.0
Overcooked 2 Carnival Of Chaos,2018,1.89,10/31/22 16:23:50,1.88,10/25/22 16:15:36,False,0.010000000000000009
Overcooked Overcooked 2,,16.28,10/31/22 16:23:50,2.11,10/25/22 16:15:36,False,14.170000000000002
Persona 5 Royal,2019,37.73,10/31/22 16:23:51,37.56,10/25/22 16:15:37,False,0.1699999999999946
Scarlet Nexus,2021,1.92,10/31/22 16:23:53,1.91,10/25/22 16:15:38,False,0.010000000000000009
Scarlet Nexus Ultimate Edition,2021,21.71,10/31/22 16:23:53,21.6,10/25/22 16:15:38,False,0.10999999999999943
