result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.37,11/10/22 09:27:32,3.39,11/09/22 09:57:57,True,-0.020000000000000018
Code Vein Deluxe Edition,2019,8.21,11/10/22 09:27:32,8.26,11/09/22 09:57:57,True,-0.049999999999998934
Dragon Ball Z Kakarot,2020,8.32,11/10/22 09:27:34,8.38,11/09/22 09:57:59,True,-0.0600000000000005
Dragon Ball Z Kakarot Ultimate Edition,2020,21.34,11/10/22 09:27:34,21.48,11/09/22 09:57:59,True,-0.14000000000000057
Dragon Ball Z Kakarot Deluxe Edition,2020,13.99,11/10/22 09:27:34,14.09,11/09/22 09:57:59,True,-0.09999999999999964
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.69,11/10/22 09:27:36,17.81,11/09/22 09:58:01,True,-0.11999999999999744
Assassins Creed Valhalla Complete Edition,2022,36.92,11/10/22 09:27:38,37.15,11/09/22 09:58:03,True,-0.22999999999999687
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.62,11/10/22 09:27:38,11.7,11/09/22 09:58:03,True,-0.08000000000000007
Assassins Creed Valhalla Ragnarok Edition,2022,17.18,11/10/22 09:27:38,17.28,11/09/22 09:58:03,True,-0.10000000000000142
Assassins Creed Valhalla Deluxe Edition,2021,13.97,11/10/22 09:27:38,14.09,11/09/22 09:58:03,True,-0.11999999999999922
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.01,11/10/22 09:27:38,17.12,11/09/22 09:58:03,True,-0.10999999999999943
Assassins Creed Valhalla,2020,11.78,11/10/22 09:27:38,10.27,11/09/22 09:58:03,False,1.5099999999999998
Assassins Creed Valhalla Gold Edition,2020,41.4,11/10/22 09:27:38,41.67,11/09/22 09:58:03,True,-0.2700000000000031
Assassins Creed Valhalla Ultimate Edition,2020,43.76,11/10/22 09:27:38,44.05,11/09/22 09:58:03,True,-0.28999999999999915
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,18.96,11/10/22 09:27:38,19.09,11/09/22 09:58:03,True,-0.129999999999999
Azure Striker Gunvolt 3,2022,6.39,11/10/22 09:27:40,6.43,11/09/22 09:58:05,True,-0.040000000000000036
Azure Striker Gunvolt 2,2016,3.01,11/10/22 09:27:40,3.03,11/09/22 09:58:05,True,-0.020000000000000018
Azure Striker Gunvolt,2014,4.47,11/10/22 09:27:40,4.5,11/09/22 09:58:05,True,-0.03000000000000025
Batman Arkham Collection,2018,5.43,11/10/22 09:27:41,8.66,11/09/22 09:58:07,True,-3.2300000000000004
Bayonetta Vanquish 10Th Anniversary Bundle,2020,4.86,11/10/22 09:27:43,16.64,11/09/22 09:58:08,True,-11.780000000000001
Bayonetta,2009,3.45,11/10/22 09:27:43,10.69,11/09/22 09:58:08,True,-7.239999999999999
Forza Horizon 5 Hot Wheels,2022,10.1,11/10/22 09:27:45,9.8,11/09/22 09:58:10,False,0.29999999999999893
Forza Horizon 5,2021,22.55,11/10/22 09:27:45,22.7,11/09/22 09:58:10,True,-0.14999999999999858
Forza Horizon 5 Deluxe Edition,2021,32.78,11/10/22 09:27:45,32.99,11/09/22 09:58:10,True,-0.21000000000000085
Forza Horizon 5 Premium Edition,2021,27.97,11/10/22 09:27:45,28.15,11/09/22 09:58:10,True,-0.17999999999999972
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.7,11/10/22 09:27:47,6.74,11/09/22 09:58:12,True,-0.040000000000000036
Gunvolt Chronicles Luminous Avenger Ix,2019,7.76,11/10/22 09:27:47,7.81,11/09/22 09:58:12,True,-0.04999999999999982
Immortals Fenyx Rising Gold Edition,2020,11.22,11/10/22 09:27:48,11.3,11/09/22 09:58:14,True,-0.08000000000000007
Gods Monsters,2020,6.72,11/10/22 09:27:48,6.76,11/09/22 09:58:14,True,-0.040000000000000036
Lost Judgment,2021,18.87,11/10/22 09:27:51,18.99,11/09/22 09:58:16,True,-0.11999999999999744
Lost Judgment Digital Deluxe Edition,2021,17.49,11/10/22 09:27:51,25.15,11/09/22 09:58:16,True,-7.66
Lost Judgment Digital Ultimate Edition,2021,53.33,11/10/22 09:27:51,53.68,11/09/22 09:58:16,True,-0.3500000000000014
Judgment,2018,6.98,11/10/22 09:27:51,7.03,11/09/22 09:58:16,True,-0.04999999999999982
Gears Of War Juxxxxxx(dement),2013,5.21,11/10/22 09:27:51,5.21,11/09/22 09:58:16,False,0.0
Ni No Kuni Wrath Of The White Witch Remastered,2019,36.09,11/10/22 09:27:53,36.32,11/09/22 09:58:18,True,-0.22999999999999687
Nier Replicant Ver 1 22474487139,2021,19.41,11/10/22 09:27:54,19.53,11/09/22 09:58:20,True,-0.120000000000001
Nier Replicant,2010,51.74,11/10/22 09:27:54,51.44,11/09/22 09:58:20,False,0.30000000000000426
Nierautomata Become As Gods Edition,2018,11.91,11/10/22 09:27:56,11.98,11/09/22 09:58:22,True,-0.07000000000000028
No More Heroes Iii,2021,9.34,11/10/22 09:27:57,11.03,11/09/22 09:58:23,True,-1.6899999999999995
Octopath Traveler,2018,16.69,11/10/22 09:27:59,16.8,11/09/22 09:58:25,True,-0.10999999999999943
Ori And The Will Of The Wisps,2020,3.04,11/10/22 09:28:01,3.06,11/09/22 09:58:26,True,-0.020000000000000018
Overcooked 2 Gourmet Edition,2020,1.02,11/10/22 09:28:02,1.34,11/09/22 09:58:27,True,-0.32000000000000006
