result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,10.13,12/28/22 08:08:05,10.07,12/24/22 07:59:59,False,0.0600000000000005
Code Vein,2019,3.59,12/28/22 08:08:05,3.57,12/24/22 07:59:59,False,0.020000000000000018
Dragon Ball Z Kakarot,2020,8.85,12/28/22 08:08:07,7.04,12/24/22 08:00:01,False,1.8099999999999996
Dragon Ball Z Kakarot A New Power Awakens Set,2020,6.08,12/28/22 08:08:07,6.05,12/24/22 08:00:01,False,0.03000000000000025
Dragon Ball Z Kakarot Ultimate Edition,2020,22.65,12/28/22 08:08:07,22.54,12/24/22 08:00:01,False,0.10999999999999943
Dragon Ball Z Kakarot Deluxe Edition,2020,15.74,12/28/22 08:08:07,15.87,12/24/22 08:00:01,True,-0.129999999999999
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,18.9,12/28/22 08:08:09,18.81,12/24/22 08:00:04,False,0.08999999999999986
Assassins Creed Valhalla Complete Edition,2022,49.86,12/28/22 08:08:11,49.62,12/24/22 08:00:06,False,0.240000000000002
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.52,12/28/22 08:08:11,11.47,12/24/22 08:00:06,False,0.049999999999998934
Assassins Creed Valhalla Ragnarok Edition,2022,17.03,12/28/22 08:08:11,16.99,12/24/22 08:00:06,False,0.0400000000000027
Assassins Creed Valhalla Deluxe Edition,2021,18.54,12/28/22 08:08:11,18.74,12/24/22 08:00:06,True,-0.1999999999999993
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,18.06,12/28/22 08:08:11,17.96,12/24/22 08:00:06,False,0.09999999999999787
Assassins Creed Valhalla,2020,11.4,12/28/22 08:08:11,11.79,12/24/22 08:00:06,True,-0.3899999999999988
Assassins Creed Valhalla Ultimate Edition,2020,46.56,12/28/22 08:08:11,46.33,12/24/22 08:00:06,False,0.23000000000000398
Assassins Creed Valhalla Gold Edition,2020,31.74,12/28/22 08:08:11,31.58,12/24/22 08:00:06,False,0.16000000000000014
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,22.59,12/28/22 08:08:11,22.48,12/24/22 08:00:06,False,0.10999999999999943
Azure Striker Gunvolt 3,2022,6.07,12/28/22 08:08:13,6.04,12/24/22 08:00:08,False,0.03000000000000025
Azure Striker Gunvolt 2,2016,5.05,12/28/22 08:08:13,5.04,12/24/22 08:00:08,False,0.009999999999999787
Azure Striker Gunvolt,2014,4.05,12/28/22 08:08:13,4.03,12/24/22 08:00:08,False,0.019999999999999574
Batman Arkham Collection,2018,6.94,12/28/22 08:08:14,6.68,12/24/22 08:00:10,False,0.2600000000000007
Bayonetta Vanquish 10Th Anniversary Bundle,2020,10.35,12/28/22 08:08:16,10.3,12/24/22 08:00:12,False,0.049999999999998934
Bayonetta,2009,7.25,12/28/22 08:08:16,7.21,12/24/22 08:00:12,False,0.040000000000000036
Forza Horizon 5 Hot Wheels,2022,11.48,12/28/22 08:08:18,11.74,12/24/22 08:00:14,True,-0.2599999999999998
Forza Horizon 5,2021,16.31,12/28/22 08:08:18,16.24,12/24/22 08:00:14,False,0.07000000000000028
Forza Horizon 5 Deluxe Edition,2021,41.27,12/28/22 08:08:18,41.08,12/24/22 08:00:14,False,0.19000000000000483
Gunvolt Chronicles Luminous Avenger Ix 2,2022,7.24,12/28/22 08:08:20,7.2,12/24/22 08:00:15,False,0.040000000000000036
Immortals Fenyx Rising Gold Edition,2020,12.34,12/28/22 08:08:22,12.71,12/24/22 08:00:17,True,-0.370000000000001
Gods Monsters,2020,7.67,12/28/22 08:08:22,7.63,12/24/22 08:00:17,False,0.040000000000000036
Lost Judgment,2021,10.12,12/28/22 08:08:24,10.07,12/24/22 08:00:19,False,0.049999999999998934
Lost Judgment Digital Deluxe Edition,2021,17.56,12/28/22 08:08:24,17.47,12/24/22 08:00:19,False,0.08999999999999986
Lost Judgment Digital Ultimate Edition,2021,30.09,12/28/22 08:08:24,29.94,12/24/22 08:00:19,False,0.14999999999999858
Judgment,2018,12.41,12/28/22 08:08:24,12.35,12/24/22 08:00:19,False,0.0600000000000005
Gears Of War Juxxxxxx(dement),2013,5.21,12/28/22 08:08:24,5.21,12/24/22 08:00:19,False,0.0
Ni No Kuni Wrath Of The White Witch Remastered,2019,28.51,12/28/22 08:08:25,29.19,12/24/22 08:00:20,True,-0.6799999999999997
Nier Replicant Ver 1 22474487139,2021,17.54,12/28/22 08:08:26,22.92,12/24/22 08:00:22,True,-5.380000000000003
Nier Replicant,2010,64.13,12/28/22 08:08:26,63.84,12/24/22 08:00:22,False,0.28999999999999204
Nierautomata Become As Gods Edition,2018,12.66,12/28/22 08:08:28,12.6,12/24/22 08:00:24,False,0.0600000000000005
No More Heroes Iii,2021,21.81,12/28/22 08:08:30,21.82,12/24/22 08:00:26,True,-0.010000000000001563
Octopath Traveler,2018,20.25,12/28/22 08:08:31,20.16,12/24/22 08:00:27,False,0.08999999999999986
Ori And The Will Of The Wisps,2020,2.53,12/28/22 08:08:32,2.92,12/24/22 08:00:29,True,-0.3900000000000001
Overcooked 2 Gourmet Edition,2020,5.06,12/28/22 08:08:34,5.04,12/24/22 08:00:31,False,0.019999999999999574
Overcooked 2 Night Of The Hangry Horde,2019,7.87,12/28/22 08:08:34,7.83,12/24/22 08:00:31,False,0.040000000000000036
Overcooked 2 Campfire Cook Off,2019,2.02,12/28/22 08:08:34,2.01,12/24/22 08:00:31,False,0.010000000000000231
Overcooked 2 2,2018,2.25,12/28/22 08:08:34,2.3,12/24/22 08:00:31,True,-0.04999999999999982
Overcooked 2 Carnival Of Chaos,2018,2.02,12/28/22 08:08:34,2.01,12/24/22 08:00:31,False,0.010000000000000231
Overcooked Overcooked 2,,10.95,12/28/22 08:08:34,16.46,12/24/22 08:00:31,True,-5.510000000000002
Persona 5 Royal,2019,39.36,12/28/22 08:08:36,39.16,12/24/22 08:00:32,False,0.20000000000000284
Scarlet Nexus,2021,2.06,12/28/22 08:08:38,2.04,12/24/22 08:00:34,False,0.020000000000000018
Scarlet Nexus Ultimate Edition,2021,20.27,12/28/22 08:08:38,20.17,12/24/22 08:00:34,False,0.09999999999999787
Scarlet Nexus Deluxe Edition,2021,10.34,12/28/22 08:08:38,10.28,12/24/22 08:00:34,False,0.0600000000000005
Sd Gundam Battle Alliance,2022,34.96,12/28/22 08:08:39,20.54,12/24/22 08:00:36,False,14.420000000000002
Sd Gundam Battle Alliance Deluxe Edition,,53.37,12/28/22 08:08:39,54.67,12/24/22 08:00:36,True,-1.3000000000000043
Soul Hackers 2,2022,32.63,12/28/22 08:08:40,32.47,12/24/22 08:00:37,False,0.1600000000000037
