result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.37,01/23/23 15:35:38,3.37,01/23/23 07:45:49,False,0.0
Code Vein Deluxe Edition,2019,9.29,01/23/23 15:35:38,9.29,01/23/23 07:45:49,False,0.0
Dragon Ball Z Kakarot,2020,7.2,01/23/23 15:35:40,7.2,01/23/23 07:45:51,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,23.0,01/23/23 15:35:40,23.0,01/23/23 07:45:51,False,0.0
Dragon Ball Z Kakarot A New Power Awakens Set,2020,9.5,01/23/23 15:35:40,9.5,01/23/23 07:45:51,False,0.0
Dragon Ball Z Kakarot Deluxe Edition,2020,22.72,01/23/23 15:35:40,22.72,01/23/23 07:45:51,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,19.28,01/23/23 15:35:42,19.28,01/23/23 07:45:53,False,0.0
Assassins Creed Valhalla Complete Edition,2022,29.55,01/23/23 15:35:44,29.55,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Dawn Of Ragnarok,2022,7.82,01/23/23 15:35:44,7.82,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,16.6,01/23/23 15:35:44,16.6,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Deluxe Edition,2021,13.66,01/23/23 15:35:44,13.66,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.64,01/23/23 15:35:44,16.64,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla,2020,9.9,01/23/23 15:35:44,9.9,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Gold Edition,2020,38.68,01/23/23 15:35:44,38.68,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Ultimate Edition,2020,47.47,01/23/23 15:35:44,47.47,01/23/23 07:45:54,False,0.0
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,14.34,01/23/23 15:35:44,14.34,01/23/23 07:45:54,False,0.0
Azure Striker Gunvolt 3,2022,6.19,01/23/23 15:35:46,6.19,01/23/23 07:45:56,False,0.0
Azure Striker Gunvolt 2,2016,5.16,01/23/23 15:35:46,5.16,01/23/23 07:45:56,False,0.0
Azure Striker Gunvolt,2014,4.12,01/23/23 15:35:46,4.12,01/23/23 07:45:56,False,0.0
Batman Arkham Collection,2018,9.14,01/23/23 15:35:48,9.14,01/23/23 07:45:58,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2020,6.32,01/23/23 15:35:49,6.32,01/23/23 07:46:00,False,0.0
Bayonetta,2009,4.32,01/23/23 15:35:49,4.32,01/23/23 07:46:00,False,0.0
Forza Horizon 5 Hot Wheels,2022,11.2,01/23/23 15:35:51,11.2,01/23/23 07:46:01,False,0.0
Forza Horizon 5,2021,16.63,01/23/23 15:35:51,16.63,01/23/23 07:46:01,False,0.0
Forza Horizon 5 Deluxe Edition,2021,42.08,01/23/23 15:35:51,42.08,01/23/23 07:46:01,False,0.0
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.11,01/23/23 15:35:53,6.11,01/23/23 07:46:03,False,0.0
Immortals Fenyx Rising Gold Edition,2020,10.01,01/23/23 15:35:55,10.01,01/23/23 07:46:05,False,0.0
Gods Monsters,2020,7.82,01/23/23 15:35:55,7.82,01/23/23 07:46:05,False,0.0
Lost Judgment,2021,10.32,01/23/23 15:35:57,10.32,01/23/23 07:46:08,False,0.0
Lost Judgment Digital Deluxe Edition,2021,16.43,01/23/23 15:35:57,16.43,01/23/23 07:46:08,False,0.0
Lost Judgment Digital Ultimate Edition,2021,19.04,01/23/23 15:35:57,19.04,01/23/23 07:46:08,False,0.0
Judgment,2018,8.44,01/23/23 15:35:57,8.44,01/23/23 07:46:08,False,0.0
