result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,5.01,11/15/22 08:05:17,5.02,11/14/22 07:44:31,True,-0.009999999999999787
Code Vein Deluxe Edition,2019,9.8,11/15/22 08:05:17,8.49,11/14/22 07:44:31,False,1.3100000000000005
Dragon Ball Z Kakarot,2020,8.58,11/15/22 08:05:19,,,False,
Dragon Ball Z Kakarot Ultimate Edition,2020,21.94,11/15/22 08:05:19,,,False,
Dragon Ball Z Kakarot Deluxe Edition,2020,19.33,11/15/22 08:05:19,,,False,
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,18.24,11/15/22 08:05:21,,,False,
Assassins Creed Valhalla Complete Edition,2022,38.05,11/15/22 08:05:23,38.18,11/14/22 07:44:39,True,-0.13000000000000256
Assassins Creed Valhalla Dawn Of Ragnarok,2022,12.95,11/15/22 08:05:23,,,False,
Assassins Creed Valhalla Ragnarok Edition,2022,20.7,11/15/22 08:05:23,20.78,11/14/22 07:44:39,True,-0.08000000000000185
Assassins Creed Valhalla Deluxe Edition,2021,16.02,11/15/22 08:05:23,16.09,11/14/22 07:44:39,True,-0.07000000000000028
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,18.03,11/15/22 08:05:23,18.1,11/14/22 07:44:51,True,-0.07000000000000028
Assassins Creed Valhalla,2020,12.16,11/15/22 08:05:23,12.19,11/14/22 07:44:39,True,-0.02999999999999936
Assassins Creed Valhalla Gold Edition,2020,42.26,11/15/22 08:05:23,42.41,11/14/22 07:44:39,True,-0.14999999999999858
Assassins Creed Valhalla Ultimate Edition,2020,45.1,11/15/22 08:05:23,45.27,11/14/22 07:44:39,True,-0.1700000000000017
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,20.18,11/15/22 08:05:23,,,False,
Azure Striker Gunvolt 3,2022,7.91,11/15/22 08:05:25,6.62,11/14/22 07:44:41,False,1.29
Azure Striker Gunvolt 2,2016,6.87,11/15/22 08:05:25,3.19,11/14/22 07:44:41,False,3.68
Azure Striker Gunvolt,2014,4.91,11/15/22 08:05:25,4.93,11/14/22 07:44:41,True,-0.019999999999999574
Batman Arkham Collection,2018,7.74,11/15/22 08:05:27,7.77,11/14/22 07:44:43,True,-0.02999999999999936
Bayonetta Vanquish 10Th Anniversary Bundle,2020,8.26,11/15/22 08:05:29,8.29,11/14/22 07:44:44,True,-0.02999999999999936
Bayonetta,2009,7.0,11/15/22 08:05:29,7.24,11/14/22 07:44:44,True,-0.2400000000000002
Forza Horizon 5 Hot Wheels,2022,16.17,11/15/22 08:05:31,16.23,11/14/22 07:44:46,True,-0.05999999999999872
Forza Horizon 5,2021,23.25,11/15/22 08:05:31,23.33,11/14/22 07:44:46,True,-0.0799999999999983
Forza Horizon 5 Deluxe Edition,2021,33.79,11/15/22 08:05:31,33.9,11/14/22 07:44:46,True,-0.10999999999999943
Forza Horizon 5 Premium Edition,2021,28.83,11/15/22 08:05:31,28.94,11/14/22 07:44:46,True,-0.11000000000000298
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.91,11/15/22 08:05:33,6.94,11/14/22 07:44:49,True,-0.03000000000000025
Gunvolt Chronicles Luminous Avenger Ix,2019,8.0,11/15/22 08:05:33,8.03,11/14/22 07:44:49,True,-0.02999999999999936
Gods Monsters,2020,6.93,11/15/22 08:05:35,6.95,11/14/22 07:44:51,True,-0.020000000000000462
Immortals Fenyx Rising Gold Edition,2020,11.52,11/15/22 08:05:35,11.57,11/14/22 07:44:51,True,-0.05000000000000071
Lost Judgment,2021,19.45,11/15/22 08:05:36,19.52,11/14/22 07:44:53,True,-0.07000000000000028
Lost Judgment Digital Deluxe Edition,2021,18.02,11/15/22 08:05:36,18.09,11/14/22 07:44:53,True,-0.07000000000000028
Judgment,2018,10.28,11/15/22 08:05:36,11.89,11/14/22 07:44:53,True,-1.6100000000000012
Gears Of War Juxxxxxx(dement),2013,5.2,11/15/22 08:05:36,5.22,11/14/22 07:44:53,True,-0.019999999999999574
Ni No Kuni Wrath Of The White Witch Remastered,2019,37.2,11/15/22 08:05:37,37.33,11/14/22 07:44:55,True,-0.12999999999999545
Nier Replicant Ver 1 22474487139,2021,20.03,11/15/22 08:05:39,20.11,11/14/22 07:44:56,True,-0.0799999999999983
Nier Replicant,2010,47.31,11/15/22 08:05:39,47.58,11/14/22 07:44:56,True,-0.269999999999996
Nierautomata Become As Gods Edition,2018,12.27,11/15/22 08:05:41,12.31,11/14/22 07:44:57,True,-0.040000000000000924
No More Heroes Iii,2021,17.57,11/15/22 08:05:43,19.6,11/14/22 07:44:59,True,-2.030000000000001
Octopath Traveler,2018,17.2,11/15/22 08:05:44,17.27,11/14/22 07:45:00,True,-0.07000000000000028
Ori And The Will Of The Wisps,2020,4.25,11/15/22 08:05:47,3.14,11/14/22 07:45:03,False,1.1099999999999999
Overcooked 2 Gourmet Edition,2020,1.82,11/15/22 08:05:48,1.58,11/14/22 07:45:05,False,0.24
Overcooked 2 Night Of The Hangry Horde,2019,7.63,11/15/22 08:05:48,7.66,11/14/22 07:45:05,True,-0.03000000000000025
Overcooked 2 Campfire Cook Off,2019,1.97,11/15/22 08:05:48,1.97,11/14/22 07:45:05,False,0.0
Overcooked 2 Carnival Of Chaos,2018,1.97,11/15/22 08:05:48,1.97,11/14/22 07:45:05,False,0.0
Overcooked 2 2,2018,2.28,11/15/22 08:05:48,1.0,11/14/22 07:45:05,False,1.2799999999999998
Overcooked Overcooked 2,,3.22,11/15/22 08:05:48,3.24,11/14/22 07:45:05,True,-0.020000000000000018
Persona 5 Royal,2019,38.28,11/15/22 08:05:49,38.42,11/14/22 07:45:07,True,-0.14000000000000057
Scarlet Nexus,2021,1.99,11/15/22 08:05:51,2.0,11/14/22 07:45:09,True,-0.010000000000000009
Scarlet Nexus Ultimate Edition,2021,19.64,11/15/22 08:05:51,19.71,11/14/22 07:45:09,True,-0.07000000000000028
Scarlet Nexus Deluxe Edition,2021,16.88,11/15/22 08:05:51,16.94,11/14/22 07:45:09,True,-0.060000000000002274
Sd Gundam Battle Alliance,2022,33.87,11/15/22 08:05:53,34.0,11/14/22 07:45:11,True,-0.13000000000000256
Sd Gundam Battle Alliance Deluxe Edition,,62.82,11/15/22 08:05:53,63.06,11/14/22 07:45:11,True,-0.240000000000002
Soul Hackers 2,2022,34.41,11/15/22 08:05:54,34.53,11/14/22 07:45:12,True,-0.12000000000000455
Soul Hackers 2 Digital Deluxe Edition,,43.86,11/15/22 08:05:54,44.03,11/14/22 07:45:12,True,-0.1700000000000017
Tales Of Arise,2021,16.57,11/15/22 08:05:55,16.05,11/14/22 07:45:14,False,0.5199999999999996
Tales Of Arise Ultimate Edition,2021,37.59,11/15/22 08:05:55,28.16,11/14/22 07:45:14,False,9.430000000000003
