result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,7.76,03/03/23 14:32:18,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,7.77,03/03/23 07:21:37,True,-0.009999999999999787
Code Vein,2019,4.0,03/03/23 14:32:18,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.01,03/03/23 07:21:37,True,-0.009999999999999787
Dragon Ball Z Kakarot A New Power Awakens Set,2020,10.27,03/03/23 14:32:20,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,10.24,03/03/23 07:21:39,False,0.02999999999999936
Dragon Ball Z Kakarot,2020,11.44,03/03/23 14:32:20,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,11.45,03/03/23 07:21:39,True,-0.009999999999999787
Dragon Ball Z Kakarot Ultimate Edition,2020,80.22,03/03/23 14:32:20,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,80.3,03/03/23 07:21:39,True,-0.0799999999999983
Dragon Ball Z Kakarot Deluxe Edition,2020,83.35,03/03/23 14:32:20,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,83.6,03/03/23 07:21:39,True,-0.25
Assassins Creed Valhalla Dawn Of Ragnarok,,6.58,03/03/23 14:32:22,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.59,03/03/23 07:21:41,True,-0.009999999999999787
Assassins Creed Valhalla Ragnarok Edition,2022,13.88,03/03/23 14:32:22,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.89,03/03/23 07:21:41,True,-0.009999999999999787
Assassins Creed Valhalla Complete Edition,2022,26.93,03/03/23 14:32:22,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,26.93,03/03/23 07:21:41,False,0.0
Assassins Creed Valhalla Deluxe Edition,2022,12.2,03/03/23 14:32:22,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.21,03/03/23 07:21:41,True,-0.010000000000001563
