result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.97,04/11/23 07:42:57,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.98,04/10/23 09:36:06,True,-0.01
Code Vein,2019,3.11,04/11/23 07:42:57,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.13,04/10/23 09:36:06,True,-0.02
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,11.76,04/11/23 07:42:58,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,10.56,04/10/23 09:36:08,False,1.2
Assassins Creed Valhalla Complete Edition,2019,25.31,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,25.33,04/10/23 09:36:09,True,-0.02
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.74,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.77,04/10/23 09:36:09,True,-0.03
Assassins Creed Valhalla Ragnarok Edition,2022,14.21,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.67,04/10/23 09:36:09,False,1.54
Assassins Creed Valhalla Deluxe Edition,2022,11.06,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.36,04/10/23 09:36:09,True,-0.3
Assassins Creed Valhalla Gold Edition,2021,79.21,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,79.28,04/10/23 09:36:09,True,-0.07
Assassins Creed Valhalla Ultimate Edition,2020,47.39,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.59,04/10/23 09:36:09,True,-0.2
Assassins Creed Valhalla The Way Of The Berserker,2020,1.58,04/11/23 07:42:59,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.58,04/10/23 09:36:09,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,13.38,04/11/23 07:43:03,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,13.43,04/10/23 09:36:13,True,-0.05
Azure Striker Gunvolt 3,2020,3.33,04/11/23 07:43:00,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.33,04/10/23 09:36:09,False,0.0
Azure Striker Gunvolt 2,2022,2.17,04/11/23 07:43:00,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.17,04/10/23 09:36:09,False,0.0
Azure Striker Gunvolt,2016,2.0,04/11/23 07:43:00,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.01,04/10/23 09:36:09,True,-0.01
Batman Arkham Collection,2014,6.8,04/11/23 07:43:01,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,5.28,04/10/23 09:36:10,False,1.52
Bayonetta Vanquish 10Th Anniversary Bundle,2018,5.26,04/11/23 07:43:01,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,5.49,04/10/23 09:36:11,True,-0.23
Bayonetta,2020,4.11,04/11/23 07:43:01,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,4.12,04/10/23 09:36:11,True,-0.01
