result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,7.98,03/01/23 07:08:21,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,7.96,02/28/23 15:52:18,False,0.020000000000000462
Code Vein,2019,4.01,03/01/23 07:08:21,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.0,02/28/23 15:52:18,False,0.009999999999999787
Dragon Ball Z Kakarot A New Power Awakens Set,2020,10.18,03/01/23 07:08:23,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,10.3,02/28/23 15:52:20,True,-0.120000000000001
Dragon Ball Z Kakarot,2020,11.46,03/01/23 07:08:23,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,11.43,02/28/23 15:52:20,False,0.030000000000001137
Dragon Ball Z Kakarot Ultimate Edition,2020,80.34,03/01/23 07:08:23,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,80.17,02/28/23 15:52:20,False,0.1700000000000017
Dragon Ball Z Kakarot Deluxe Edition,2020,83.01,03/01/23 07:08:23,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,83.95,02/28/23 15:52:20,True,-0.9399999999999977
Assassins Creed Valhalla Dawn Of Ragnarok,,6.59,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.58,02/28/23 15:52:21,False,0.009999999999999787
Assassins Creed Valhalla Ragnarok Edition,2022,13.9,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.9,02/28/23 15:52:21,False,0.0
Assassins Creed Valhalla Complete Edition,2022,27.03,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,27.03,02/28/23 15:52:21,False,0.0
Assassins Creed Valhalla Deluxe Edition,2022,12.22,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.19,02/28/23 15:52:21,False,0.030000000000001137
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,12.36,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.27,02/28/23 15:52:21,False,1.0899999999999999
Assassins Creed Valhalla Watch Dogs Legion Bundle,2021,14.09,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.07,02/28/23 15:52:21,False,0.019999999999999574
Assassins Creed Valhalla,2020,7.78,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,7.77,02/28/23 15:52:21,False,0.010000000000000675
Assassins Creed Valhalla The Way Of The Berserker,2020,1.91,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.9,02/28/23 15:52:21,False,0.010000000000000009
Assassins Creed Valhalla Gold Edition,2020,61.58,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,61.44,02/28/23 15:52:21,False,0.14000000000000057
Assassins Creed Valhalla Ultimate Edition,2020,46.32,03/01/23 07:08:25,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,46.21,02/28/23 15:52:21,False,0.10999999999999943
Azure Striker Gunvolt 3,,3.21,03/01/23 07:08:26,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.21,02/28/23 15:52:22,False,0.0
Azure Striker Gunvolt 2,2022,2.7,03/01/23 07:08:26,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.77,02/28/23 15:52:22,True,-0.06999999999999984
Azure Striker Gunvolt,2016,7.46,03/01/23 07:08:26,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,,,False,
Batman Arkham Collection,2018,6.56,03/01/23 07:08:28,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,6.54,02/28/23 15:52:23,False,0.019999999999999574
Bayonetta Vanquish 10Th Anniversary Bundle,,8.94,03/01/23 07:08:29,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,8.92,02/28/23 15:52:24,False,0.019999999999999574
Bayonetta,,6.56,03/01/23 07:08:29,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,6.03,02/28/23 15:52:24,False,0.5299999999999994
Forza Horizon 5 Hot Wheels,,13.3,03/01/23 07:08:30,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,13.37,02/28/23 15:52:26,True,-0.06999999999999851
Forza Horizon 5,2020,16.23,03/01/23 07:08:30,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,16.19,02/28/23 15:52:26,False,0.03999999999999915
Forza Horizon 5 Deluxe Edition,2009,41.07,03/01/23 07:08:30,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,40.98,02/28/23 15:52:26,False,0.09000000000000341
Gunvolt Chronicles Luminous Avenger Ix 2,2014,14.33,03/01/23 07:08:26,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,14.33,02/28/23 15:52:22,False,0.0
Immortals Fenyx Rising Gold Edition,,11.96,03/01/23 07:08:32,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,11.94,02/28/23 15:52:28,False,0.02000000000000135
Lost Judgment,2011,14.98,03/01/23 07:08:33,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,14.95,02/28/23 15:52:29,False,0.030000000000001137
Lost Judgment Digital Deluxe Edition,2010,14.41,03/01/23 07:08:33,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,14.4,02/28/23 15:52:29,False,0.009999999999999787
Lost Judgment Digital Ultimate Edition,2006,16.33,03/01/23 07:08:33,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,16.33,02/28/23 15:52:29,False,0.0
Judgment,,9.77,03/01/23 07:08:33,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,9.75,02/28/23 15:52:29,False,0.019999999999999574
Gears Of War Judgment,2021,10.07,03/01/23 07:08:33,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,10.05,02/28/23 15:52:29,False,0.019999999999999574
Ni No Kuni Wrath Of The White Witch Remastered,2021,29.44,03/01/23 07:08:34,https://cdkeyprices.com/search?sk=Ni+no+Kuni+Wrath+of+the+White+Witch+Remastered&categories=&platforms=all_xbox&types=game&filter=1,38.11,02/28/23 15:52:30,True,-8.669999999999998
Nier Replicant Ver 1 22474487139,2015,15.08,03/01/23 07:08:35,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,15.05,02/28/23 15:52:31,False,0.02999999999999936
Nier Replicant,2014,51.96,03/01/23 07:08:35,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,52.35,02/28/23 15:52:31,True,-0.39000000000000057
Octopath Traveler,2013,26.74,03/01/23 07:08:38,https://cdkeyprices.com/search?sk=OCTOPATH+TRAVELER&categories=&platforms=all_xbox&types=game&filter=1,26.68,02/28/23 15:52:34,False,0.05999999999999872
Ori And The Will Of The Wisps,,8.45,03/01/23 07:08:40,https://cdkeyprices.com/search?sk=Ori+and+the+Will+of+the+Wisps&categories=&platforms=all_xbox&types=game&filter=1,8.22,02/28/23 15:52:35,False,0.22999999999999865
Overcooked Overcooked 2,,6.4,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,6.4,02/28/23 15:52:36,False,0.0
Overcooked 2 Gourmet Edition,,3.72,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,3.71,02/28/23 15:52:36,False,0.010000000000000231
Overcooked 2 Night Of The Hangry Horde,,9.07,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,9.05,02/28/23 15:52:36,False,0.019999999999999574
Overcooked 2 Campfire Cook Off,,2.04,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,2.04,02/28/23 15:52:36,False,0.0
Overcooked 2 2,2022,1.79,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,1.78,02/28/23 15:52:36,False,0.010000000000000009
Overcooked 2 Carnival Of Chaos,2020,2.01,03/01/23 07:08:41,https://cdkeyprices.com/search?sk=Overcooked!+2&categories=&platforms=all_xbox&types=game&filter=1,2.01,02/28/23 15:52:36,False,0.0
Persona 5 Royal,2019,36.76,03/01/23 07:08:42,https://cdkeyprices.com/search?sk=Persona+5+Royal&categories=&platforms=all_xbox&types=game&filter=1,36.68,02/28/23 15:52:37,False,0.0799999999999983
Scarlet Nexus Ultimate Edition,2022,20.17,03/01/23 07:08:43,https://cdkeyprices.com/search?sk=SCARLET+NEXUS&categories=&platforms=all_xbox&types=game&filter=1,20.16,02/28/23 15:52:38,False,0.010000000000001563
Scarlet Nexus Deluxe Edition,2021,12.36,03/01/23 07:08:43,https://cdkeyprices.com/search?sk=SCARLET+NEXUS&categories=&platforms=all_xbox&types=game&filter=1,12.33,02/28/23 15:52:38,False,0.02999999999999936
Scarlet Nexus,2018,5.19,03/01/23 07:08:43,https://cdkeyprices.com/search?sk=SCARLET+NEXUS&categories=&platforms=all_xbox&types=game&filter=1,5.19,02/28/23 15:52:38,False,0.0
Sd Gundam Battle Alliance,,30.75,03/01/23 07:08:44,https://cdkeyprices.com/search?sk=SD+GUNDAM+BATTLE+ALLIANCE&categories=&platforms=all_xbox&types=game&filter=1,30.75,02/28/23 15:52:39,False,0.0
Sd Gundam Battle Alliance Deluxe Edition,2021,62.87,03/01/23 07:08:44,https://cdkeyprices.com/search?sk=SD+GUNDAM+BATTLE+ALLIANCE&categories=&platforms=all_xbox&types=game&filter=1,62.92,02/28/23 15:52:39,True,-0.05000000000000426
Soul Hackers 2,2013,21.36,03/01/23 07:08:45,https://cdkeyprices.com/search?sk=Soul+Hackers+2&categories=&platforms=all_xbox&types=game&filter=1,21.36,02/28/23 15:52:40,False,0.0
Soul Hackers 2 Digital Deluxe Edition,2010,21.62,03/01/23 07:08:45,https://cdkeyprices.com/search?sk=Soul+Hackers+2&categories=&platforms=all_xbox&types=game&filter=1,21.6,02/28/23 15:52:40,False,0.019999999999999574
Tales Of Arise,2020,7.9,03/01/23 07:08:46,https://cdkeyprices.com/search?sk=Tales+of+Arise&categories=&platforms=all_xbox&types=game&filter=1,7.88,02/28/23 15:52:41,False,0.020000000000000462
Tales Of Arise Ultimate Edition,2019,42.12,03/01/23 07:08:46,https://cdkeyprices.com/search?sk=Tales+of+Arise&categories=&platforms=all_xbox&types=game&filter=1,44.26,02/28/23 15:52:41,True,-2.1400000000000006
Tales Of Arise Deluxe Edition,2017,34.46,03/01/23 07:08:46,https://cdkeyprices.com/search?sk=Tales+of+Arise&categories=&platforms=all_xbox&types=game&filter=1,34.38,02/28/23 15:52:41,False,0.0799999999999983
Yakuza Like A Dragon Hero Edition,2021,9.85,03/01/23 07:08:23,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,9.83,02/28/23 15:52:20,False,0.019999999999999574
