result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,7.9,03/02/23 14:45:47,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,8.01,03/02/23 07:29:48,True,-0.10999999999999943
Code Vein,2019,4.03,03/02/23 14:45:47,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.03,03/02/23 07:29:48,False,0.0
Dragon Ball Z Kakarot A New Power Awakens Set,2020,10.25,03/02/23 14:45:49,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,10.2,03/02/23 07:29:49,False,0.05000000000000071
Dragon Ball Z Kakarot,2020,11.51,03/02/23 14:45:49,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,11.5,03/02/23 07:29:49,False,0.009999999999999787
Dragon Ball Z Kakarot Ultimate Edition,2020,80.74,03/02/23 14:45:49,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,80.71,03/02/23 07:29:49,False,0.030000000000001137
Dragon Ball Z Kakarot Deluxe Edition,2020,83.71,03/02/23 14:45:49,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,83.16,03/02/23 07:29:49,False,0.5499999999999972
Assassins Creed Valhalla Dawn Of Ragnarok,,6.62,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.62,03/02/23 07:29:51,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,13.97,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.96,03/02/23 07:29:51,False,0.009999999999999787
Assassins Creed Valhalla Complete Edition,2022,26.97,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,27.0,03/02/23 07:29:51,True,-0.030000000000001137
Assassins Creed Valhalla Deluxe Edition,2022,12.28,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.27,03/02/23 07:29:51,False,0.009999999999999787
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,11.28,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.27,03/02/23 07:29:51,False,0.009999999999999787
Assassins Creed Valhalla Watch Dogs Legion Bundle,2021,13.45,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.44,03/02/23 07:29:51,False,0.009999999999999787
Assassins Creed Valhalla,2020,8.07,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,8.07,03/02/23 07:29:51,False,0.0
Assassins Creed Valhalla The Way Of The Berserker,2020,1.91,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.91,03/02/23 07:29:51,False,0.0
Assassins Creed Valhalla Gold Edition,2020,61.88,03/02/23 14:45:50,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,61.85,03/02/23 07:29:51,False,0.030000000000001137
