result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,4.37,01/24/23 15:18:58,3.37,01/24/23 07:46:38,False,1.0
Code Vein Deluxe Edition,2019,9.28,01/24/23 15:18:58,9.29,01/24/23 07:46:38,True,-0.009999999999999787
Dragon Ball Z Kakarot,2020,7.2,01/24/23 15:19:00,7.2,01/24/23 07:46:41,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,22.99,01/24/23 15:19:00,23.0,01/24/23 07:46:41,True,-0.010000000000001563
Dragon Ball Z Kakarot Deluxe Edition,2020,22.71,01/24/23 15:19:00,22.72,01/24/23 07:46:41,True,-0.00999999999999801
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,19.26,01/24/23 15:19:02,19.28,01/24/23 07:46:44,True,-0.019999999999999574
Assassins Creed Valhalla Complete Edition,2022,29.52,01/24/23 15:19:04,29.55,01/24/23 07:46:45,True,-0.030000000000001137
Assassins Creed Valhalla Dawn Of Ragnarok,2022,7.81,01/24/23 15:19:04,7.82,01/24/23 07:46:45,True,-0.010000000000000675
Assassins Creed Valhalla Ragnarok Edition,2022,16.5,01/24/23 15:19:04,16.6,01/24/23 07:46:45,True,-0.10000000000000142
Assassins Creed Valhalla Deluxe Edition,2021,13.65,01/24/23 15:19:04,13.66,01/24/23 07:46:45,True,-0.009999999999999787
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.63,01/24/23 15:19:04,16.64,01/24/23 07:46:45,True,-0.010000000000001563
Assassins Creed Valhalla,2020,9.49,01/24/23 15:19:04,9.9,01/24/23 07:46:45,True,-0.41000000000000014
Assassins Creed Valhalla Gold Edition,2020,38.69,01/24/23 15:19:04,38.68,01/24/23 07:46:45,False,0.00999999999999801
Assassins Creed Valhalla Ultimate Edition,2020,47.44,01/24/23 15:19:04,47.47,01/24/23 07:46:45,True,-0.030000000000001137
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,14.34,01/24/23 15:19:04,14.34,01/24/23 07:46:45,False,0.0
Azure Striker Gunvolt 3,2022,6.18,01/24/23 15:19:05,6.19,01/24/23 07:46:46,True,-0.010000000000000675
Azure Striker Gunvolt 2,2016,5.15,01/24/23 15:19:05,5.16,01/24/23 07:46:46,True,-0.009999999999999787
Azure Striker Gunvolt,2014,4.12,01/24/23 15:19:05,4.12,01/24/23 07:46:46,False,0.0
Batman Arkham Collection,2018,9.13,01/24/23 15:19:07,9.14,01/24/23 07:46:48,True,-0.009999999999999787
Bayonetta Vanquish 10Th Anniversary Bundle,2020,6.31,01/24/23 15:19:10,6.32,01/24/23 07:46:49,True,-0.010000000000000675
Bayonetta,2009,4.32,01/24/23 15:19:10,4.32,01/24/23 07:46:49,False,0.0
Forza Horizon 5 Hot Wheels,2022,15.1,01/24/23 15:19:11,11.2,01/24/23 07:46:51,False,3.9000000000000004
Forza Horizon 5,2021,16.62,01/24/23 15:19:11,16.63,01/24/23 07:46:51,True,-0.00999999999999801
Forza Horizon 5 Deluxe Edition,2021,42.06,01/24/23 15:19:11,42.08,01/24/23 07:46:51,True,-0.01999999999999602
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.1,01/24/23 15:19:12,6.11,01/24/23 07:46:52,True,-0.010000000000000675
Gunvolt Chronicles Luminous Avenger Ix,2019,4.64,01/24/23 15:19:12,,,False,
Immortals Fenyx Rising Gold Edition,2020,10.01,01/24/23 15:19:14,10.01,01/24/23 07:46:54,False,0.0
Gods Monsters,2020,7.81,01/24/23 15:19:14,7.82,01/24/23 07:46:54,True,-0.010000000000000675
Lost Judgment,2021,10.31,01/24/23 15:19:15,10.32,01/24/23 07:46:55,True,-0.009999999999999787
Lost Judgment Digital Deluxe Edition,2021,16.41,01/24/23 15:19:15,16.43,01/24/23 07:46:55,True,-0.019999999999999574
Lost Judgment Digital Ultimate Edition,2021,18.92,01/24/23 15:19:15,19.04,01/24/23 07:46:55,True,-0.11999999999999744
Judgment,2018,8.44,01/24/23 15:19:15,8.44,01/24/23 07:46:55,False,0.0
Gears Of War Juxxxxxx(dement),2013,5.21,01/24/23 15:19:15,5.21,01/24/23 07:46:55,False,0.0
Ni No Kuni Wrath Of The White Witch Remastered,2019,39.12,01/24/23 15:19:16,25.9,01/24/23 07:46:56,False,13.219999999999999
Nier Replicant Ver 1 22474487139,2021,15.44,01/24/23 15:19:18,15.46,01/24/23 07:46:58,True,-0.02000000000000135
Nier Replicant,2010,53.31,01/24/23 15:19:18,53.37,01/24/23 07:46:58,True,-0.05999999999999517
Nierautomata Become As Gods Edition,2018,12.91,01/24/23 15:19:19,12.92,01/24/23 07:46:59,True,-0.009999999999999787
No More Heroes Iii,2021,20.42,01/24/23 15:19:21,20.43,01/24/23 07:47:00,True,-0.00999999999999801
Octopath Traveler,2018,22.61,01/24/23 15:19:22,18.59,01/24/23 07:47:02,False,4.02
Ori And The Will Of The Wisps,2020,4.34,01/24/23 15:19:23,4.34,01/24/23 07:47:03,False,0.0
Overcooked 2 Gourmet Edition,2020,3.81,01/24/23 15:19:25,3.81,01/24/23 07:47:04,False,0.0
Overcooked 2 Campfire Cook Off,2019,2.06,01/24/23 15:19:25,2.07,01/24/23 07:47:04,True,-0.009999999999999787
Overcooked 2 Night Of The Hangry Horde,2019,8.02,01/24/23 15:19:25,8.03,01/24/23 07:47:04,True,-0.009999999999999787
Overcooked 2 2,2018,1.82,01/24/23 15:19:25,1.83,01/24/23 07:47:04,True,-0.010000000000000009
Overcooked 2 Carnival Of Chaos,2018,2.06,01/24/23 15:19:25,2.07,01/24/23 07:47:04,True,-0.009999999999999787
Overcooked Overcooked 2,,5.07,01/24/23 15:19:25,5.07,01/24/23 07:47:04,False,0.0
Persona 5 Royal,2019,40.09,01/24/23 15:19:26,38.65,01/24/23 07:47:06,False,1.4400000000000048
Scarlet Nexus,2021,2.1,01/24/23 15:19:27,2.1,01/24/23 07:47:07,False,0.0
Scarlet Nexus Deluxe Edition,2021,10.53,01/24/23 15:19:27,10.54,01/24/23 07:47:07,True,-0.009999999999999787
Scarlet Nexus Ultimate Edition,2021,20.65,01/24/23 15:19:27,20.66,01/24/23 07:47:07,True,-0.010000000000001563
Sd Gundam Battle Alliance,2022,26.31,01/24/23 15:19:29,26.33,01/24/23 07:47:08,True,-0.019999999999999574
Sd Gundam Battle Alliance Deluxe Edition,,65.53,01/24/23 15:19:29,65.58,01/24/23 07:47:08,True,-0.04999999999999716
Soul Hackers 2,2022,22.41,01/24/23 15:19:30,22.68,01/24/23 07:47:10,True,-0.2699999999999996
Soul Hackers 2 Digital Deluxe Edition,,31.16,01/24/23 15:19:30,31.64,01/24/23 07:47:10,True,-0.4800000000000004
Tales Of Arise Ultimate Edition,2021,42.67,01/24/23 15:19:31,42.7,01/24/23 07:47:11,True,-0.030000000000001137
Tales Of Arise,2021,15.16,01/24/23 15:19:31,16.65,01/24/23 07:47:11,True,-1.4899999999999984
Tales Of Arise Deluxe Edition,2021,66.84,01/24/23 15:19:31,66.88,01/24/23 07:47:11,True,-0.03999999999999204
Like A Dragon Ishin,2023,49.93,01/24/23 15:19:32,50.02,01/24/23 07:47:12,True,-0.09000000000000341
Yakuza Like A Dragon Legendary Hero Edition,2020,16.85,01/24/23 15:19:32,16.86,01/24/23 07:47:12,True,-0.00999999999999801
The Yakuza Remastered Collection,2020,7.23,01/24/23 15:19:32,7.23,01/24/23 07:47:12,False,0.0
Yakuza Like A Dragon Hero Edition,2020,9.48,01/24/23 15:19:32,9.49,01/24/23 07:47:12,True,-0.009999999999999787
