result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,7.93,02/27/23 16:31:32,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,7.95,02/27/23 08:01:40,True,-0.020000000000000462
Code Vein,2019,3.99,02/27/23 16:31:32,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.0,02/27/23 08:01:40,True,-0.009999999999999787
Dragon Ball Z Kakarot A New Power Awakens Set,2020,10.3,02/27/23 16:31:35,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,10.3,02/27/23 08:01:42,False,0.0
Dragon Ball Z Kakarot,2020,11.39,02/27/23 16:31:35,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,11.42,02/27/23 08:01:42,True,-0.02999999999999936
Dragon Ball Z Kakarot Ultimate Edition,2020,79.91,02/27/23 16:31:35,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,46.0,02/27/23 08:01:42,False,33.91
Dragon Ball Z Kakarot Deluxe Edition,2020,83.95,02/27/23 16:31:35,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,83.95,02/27/23 08:01:42,False,0.0
Assassins Creed Valhalla Dawn Of Ragnarok,,6.55,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.57,02/27/23 08:01:43,True,-0.020000000000000462
Assassins Creed Valhalla Ragnarok Edition,2022,16.17,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,16.21,02/27/23 08:01:43,True,-0.03999999999999915
Assassins Creed Valhalla Complete Edition,2022,26.8,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,26.79,02/27/23 08:01:43,False,0.010000000000001563
Assassins Creed Valhalla Deluxe Edition,2022,12.15,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.18,02/27/23 08:01:43,True,-0.02999999999999936
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,11.3,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.3,02/27/23 08:01:43,False,0.0
Assassins Creed Valhalla Watch Dogs Legion Bundle,2021,14.05,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.05,02/27/23 08:01:43,False,0.0
Assassins Creed Valhalla,2020,7.78,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,7.8,02/27/23 08:01:43,True,-0.019999999999999574
Assassins Creed Valhalla The Way Of The Berserker,2020,1.89,02/27/23 16:31:36,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.9,02/27/23 08:01:43,True,-0.010000000000000009
