result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,6.5,03/31/23 15:23:22,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,6.5,03/31/23 08:56:57,False,0.0
Code Vein,2019,3.45,03/31/23 15:23:22,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.45,03/31/23 08:56:57,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,10.57,03/31/23 15:23:23,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,10.56,03/31/23 08:56:58,False,0.01
Assassins Creed Valhalla Complete Edition,2019,25.41,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,25.26,03/31/23 08:56:59,False,0.15
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.78,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.77,03/31/23 08:56:59,False,0.01
Assassins Creed Valhalla Ragnarok Edition,2022,14.28,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.27,03/31/23 08:56:59,False,0.01
Assassins Creed Valhalla Deluxe Edition,2022,11.91,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.94,03/31/23 08:56:59,True,-0.03
Assassins Creed Valhalla Gold Edition,2021,79.27,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,78.78,03/31/23 08:56:59,False,0.49
Assassins Creed Valhalla Ultimate Edition,2020,47.64,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.59,03/31/23 08:56:59,False,0.05
Assassins Creed Valhalla The Way Of The Berserker,2020,1.75,03/31/23 15:23:24,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.75,03/31/23 08:56:59,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,13.44,03/31/23 15:23:29,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,13.43,03/31/23 08:57:04,False,0.01
Azure Striker Gunvolt 3,2020,3.31,03/31/23 15:23:25,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.29,03/31/23 08:57:00,False,0.02
Azure Striker Gunvolt 2,2022,2.16,03/31/23 15:23:25,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.16,03/31/23 08:57:00,False,0.0
Azure Striker Gunvolt,2016,2.32,03/31/23 15:23:25,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.32,03/31/23 08:57:00,False,0.0
Batman Arkham Collection,2014,8.49,03/31/23 15:23:26,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,8.48,03/31/23 08:57:01,False,0.01
Bayonetta Vanquish 10Th Anniversary Bundle,2018,6.53,03/31/23 15:23:27,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,6.53,03/31/23 08:57:01,False,0.0
Bayonetta,2020,4.13,03/31/23 15:23:27,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,4.12,03/31/23 08:57:01,False,0.01
Forza Horizon 5 Hot Wheels,2009,13.15,03/31/23 15:23:28,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,13.09,03/31/23 08:57:02,False,0.06
Forza Horizon 5 Expansions Bundle,2022,31.19,03/31/23 15:23:28,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,31.19,03/31/23 08:57:02,False,0.0
Forza Horizon 5,2022,4.66,03/31/23 15:23:28,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,4.66,03/31/23 08:57:02,False,0.0
Forza Horizon 5 Deluxe Edition,2021,33.56,03/31/23 15:23:28,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,33.42,03/31/23 08:57:02,False,0.14
Forza Horizon 5 Premium Edition,2021,21.77,03/31/23 15:23:28,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,21.68,03/31/23 08:57:02,False,0.09
Gunvolt Chronicles Luminous Avenger Ix 2,2021,14.65,03/31/23 15:23:29,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,14.65,03/31/23 08:57:03,False,0.0
Gunvolt Chronicles Luminous Avenger Ix,2022,8.25,03/31/23 15:23:29,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,8.25,03/31/23 08:57:03,False,0.0
Immortals Fenyx Rising Gold Edition,2021,8.46,03/31/23 15:23:29,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,8.45,03/31/23 08:57:04,False,0.01
Lost Judgment,2020,15.41,03/31/23 15:23:30,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,15.39,03/31/23 08:57:04,False,0.02
Lost Judgment Digital Ultimate Edition,2021,29.8,03/31/23 15:23:30,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,29.8,03/31/23 08:57:04,False,0.0
