result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.98,04/12/23 07:01:59,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.97,04/11/23 15:59:03,False,0.01
Code Vein,2019,3.12,04/12/23 07:01:59,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.12,04/11/23 15:59:03,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,11.82,04/12/23 07:02:00,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,11.79,04/11/23 15:59:04,False,0.03
Assassins Creed Valhalla Complete Edition,2019,25.31,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,25.29,04/11/23 15:59:05,False,0.02
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.78,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.76,04/11/23 15:59:05,False,0.02
Assassins Creed Valhalla Ragnarok Edition,2022,14.28,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.24,04/11/23 15:59:05,False,0.04
Assassins Creed Valhalla Deluxe Edition,2022,11.12,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.09,04/11/23 15:59:05,False,0.03
Assassins Creed Valhalla The Siege Of Paris,2021,20.44,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.19,04/11/23 15:59:05,False,0.25
Assassins Creed Valhalla Wrath Of The Druids,2021,20.44,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.19,04/11/23 15:59:05,False,0.25
Assassins Creed Valhalla Gold Edition,2021,79.22,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,79.14,04/11/23 15:59:05,False,0.08
Assassins Creed Valhalla Ultimate Edition,2020,47.62,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.5,04/11/23 15:59:05,False,0.12
Assassins Creed Valhalla The Way Of The Berserker,2020,1.58,04/12/23 07:02:01,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.58,04/11/23 15:59:05,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,13.44,04/12/23 07:02:07,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,13.41,04/11/23 15:59:10,False,0.03
Azure Striker Gunvolt 3,2020,3.33,04/12/23 07:02:02,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.33,04/11/23 15:59:06,False,0.0
Azure Striker Gunvolt 2,2022,2.17,04/12/23 07:02:02,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.17,04/11/23 15:59:06,False,0.0
Azure Striker Gunvolt,2016,2.01,04/12/23 07:02:02,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.0,04/11/23 15:59:06,False,0.01
Batman Arkham Collection,2014,5.28,04/12/23 07:02:02,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,5.27,04/11/23 15:59:07,False,0.01
Bayonetta Vanquish 10Th Anniversary Bundle,2018,5.26,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,5.25,04/11/23 15:59:07,False,0.01
Bayonetta,2020,4.13,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,4.12,04/11/23 15:59:07,False,0.01
Forza Horizon 4 Hot Wheels Legends Car Pack,2009,8.2,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.17,04/11/23 15:59:08,False,0.03
Forza Horizon 4 Barrett Jackson Car Pack,2021,2.64,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,2.63,04/11/23 15:59:08,False,0.01
Forza Horizon 4 Lego Speed Champions,2019,6.72,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,6.71,04/11/23 15:59:08,False,0.01
Forza Horizon 4 Ultimate Edition,2019,16.9,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,16.86,04/11/23 15:59:08,False,0.04
Forza Horizon 4,2018,10.11,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,10.08,04/11/23 15:59:08,False,0.03
Forza Horizon 4 Fortune Island,2018,8.33,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.32,04/11/23 15:59:08,False,0.01
Forza Horizon 4 Deluxe Edition,2018,19.33,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,19.28,04/11/23 15:59:08,False,0.05
Forza Horizon 4 Expansions Bundle,2018,22.37,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,22.1,04/11/23 15:59:08,False,0.27
Forza Horizon 4 Icons Car Pack,2018,7.93,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,7.92,04/11/23 15:59:08,False,0.01
Forza Horizon 4 Vip,,13.74,04/12/23 07:02:04,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,13.72,04/11/23 15:59:08,False,0.02
Forza Horizon 5 Rally Adventure,,16.93,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,16.88,04/11/23 15:59:09,False,0.05
Forza Horizon 5 Hot Wheels,2023,11.23,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,11.09,04/11/23 15:59:09,False,0.14
Forza Horizon 5 Expansions Bundle,2022,28.26,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,28.25,04/11/23 15:59:09,False,0.01
Forza Horizon 5,2022,4.66,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,4.66,04/11/23 15:59:09,False,0.0
Forza Horizon 5 Deluxe Edition,2021,28.53,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,28.18,04/11/23 15:59:09,False,0.35
Forza Horizon 5 Premium Edition,2021,22.15,04/12/23 07:02:05,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,21.88,04/11/23 15:59:09,False,0.27
Gunvolt Chronicles Luminous Avenger Ix 2,2021,14.72,04/12/23 07:02:06,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,14.72,04/11/23 15:59:09,False,0.0
Gunvolt Chronicles Luminous Avenger Ix,2022,8.27,04/12/23 07:02:06,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,8.27,04/11/23 15:59:09,False,0.0
Immortals Fenyx Rising Gold Edition,2021,8.46,04/12/23 07:02:07,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,8.44,04/11/23 15:59:10,False,0.02
Lost Judgment,2020,10.58,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,10.55,04/11/23 15:59:11,False,0.03
Lost Judgment Digital Ultimate Edition,2021,14.26,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,14.39,04/11/23 15:59:11,True,-0.13
Lost Judgment Digital Deluxe Edition,2021,15.9,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,15.87,04/11/23 15:59:11,False,0.03
Judgment,2021,7.26,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,7.27,04/11/23 15:59:11,True,-0.01
Gears Of War Judgment,2018,10.35,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,10.33,04/11/23 15:59:11,False,0.02
Ni No Kuni Wrath Of The White Witch Remastered,2013,17.4,04/12/23 07:02:08,https://cdkeyprices.com/search?sk=Ni+no+Kuni+Wrath+of+the+White+Witch+Remastered&categories=&platforms=all_xbox&types=game&filter=1,17.47,04/11/23 15:59:12,True,-0.07
Nier Replicant Ver 1 22474487139,2018,14.03,04/12/23 07:02:10,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,13.99,04/11/23 15:59:13,False,0.04
Nier Replicant,2021,52.01,04/12/23 07:02:10,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,51.96,04/11/23 15:59:13,False,0.05
