result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.34,01/19/23 16:41:56,3.35,01/19/23 07:44:37,True,-0.010000000000000231
Code Vein Deluxe Edition,2019,7.32,01/19/23 16:41:56,7.35,01/19/23 07:44:37,True,-0.02999999999999936
Dragon Ball Z Kakarot,2020,7.68,01/19/23 16:41:58,7.7,01/19/23 07:44:40,True,-0.020000000000000462
Dragon Ball Z Kakarot Ultimate Edition,2020,22.76,01/19/23 16:41:58,22.85,01/19/23 07:44:40,True,-0.08999999999999986
Dragon Ball Z Kakarot A New Power Awakens Set,2020,9.52,01/19/23 16:41:58,9.67,01/19/23 07:44:40,True,-0.15000000000000036
Dragon Ball Z Kakarot Deluxe Edition,2020,16.13,01/19/23 16:41:58,16.2,01/19/23 07:44:40,True,-0.07000000000000028
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,19.12,01/19/23 16:42:00,19.2,01/19/23 07:44:42,True,-0.0799999999999983
Assassins Creed Valhalla Complete Edition,2022,30.03,01/19/23 16:42:02,30.16,01/19/23 07:44:44,True,-0.129999999999999
Assassins Creed Valhalla Dawn Of Ragnarok,2022,7.76,01/19/23 16:42:02,7.78,01/19/23 07:44:44,True,-0.020000000000000462
Assassins Creed Valhalla Ragnarok Edition,2022,16.69,01/19/23 16:42:02,16.76,01/19/23 07:44:44,True,-0.07000000000000028
Assassins Creed Valhalla Deluxe Edition,2021,13.59,01/19/23 16:42:02,13.65,01/19/23 07:44:44,True,-0.0600000000000005
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.73,01/19/23 16:42:02,16.8,01/19/23 07:44:44,True,-0.07000000000000028
Assassins Creed Valhalla,2020,9.93,01/19/23 16:42:02,9.97,01/19/23 07:44:44,True,-0.040000000000000924
Assassins Creed Valhalla Gold Edition,2020,38.69,01/19/23 16:42:02,38.58,01/19/23 07:44:44,False,0.10999999999999943
Assassins Creed Valhalla Ultimate Edition,2020,47.08,01/19/23 16:42:02,47.27,01/19/23 07:44:44,True,-0.19000000000000483
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,14.23,01/19/23 16:42:02,14.29,01/19/23 07:44:44,True,-0.05999999999999872
Azure Striker Gunvolt 3,2022,6.14,01/19/23 16:42:04,6.17,01/19/23 07:44:46,True,-0.03000000000000025
Azure Striker Gunvolt 2,2016,5.11,01/19/23 16:42:04,5.14,01/19/23 07:44:46,True,-0.02999999999999936
Azure Striker Gunvolt,2014,4.09,01/19/23 16:42:04,4.1,01/19/23 07:44:46,True,-0.009999999999999787
Batman Arkham Collection,2018,9.06,01/19/23 16:42:06,9.09,01/19/23 07:44:48,True,-0.02999999999999936
Bayonetta Vanquish 10Th Anniversary Bundle,2020,6.27,01/19/23 16:42:07,6.3,01/19/23 07:44:50,True,-0.03000000000000025
Bayonetta,2009,4.32,01/19/23 16:42:07,4.34,01/19/23 07:44:50,True,-0.019999999999999574
Forza Horizon 5 Hot Wheels,2022,11.24,01/19/23 16:42:09,11.43,01/19/23 07:44:52,True,-0.1899999999999995
Forza Horizon 5,2021,16.5,01/19/23 16:42:09,16.56,01/19/23 07:44:52,True,-0.05999999999999872
Forza Horizon 5 Deluxe Edition,2021,41.73,01/19/23 16:42:09,41.91,01/19/23 07:44:52,True,-0.17999999999999972
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.06,01/19/23 16:42:11,6.08,01/19/23 07:44:53,True,-0.020000000000000462
Immortals Fenyx Rising Gold Edition,2020,9.93,01/19/23 16:42:13,9.97,01/19/23 07:44:55,True,-0.040000000000000924
Gods Monsters,2020,7.76,01/19/23 16:42:13,7.78,01/19/23 07:44:55,True,-0.020000000000000462
Lost Judgment,2021,10.24,01/19/23 16:42:14,10.28,01/19/23 07:44:56,True,-0.03999999999999915
Lost Judgment Digital Deluxe Edition,2021,16.3,01/19/23 16:42:14,16.36,01/19/23 07:44:56,True,-0.05999999999999872
