result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.37,03/24/23 06:45:03,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.37,03/23/23 14:42:55,False,0.0
Code Vein,2019,4.06,03/24/23 06:45:03,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.07,03/23/23 14:42:55,True,-0.010000000000000675
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,12.4,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,12.4,03/23/23 14:42:56,False,0.0
Assassins Creed Valhalla Complete Edition,2019,26.96,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,27.9,03/23/23 14:42:57,True,-0.9399999999999977
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.76,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.76,03/23/23 14:42:57,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,18.67,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.24,03/23/23 14:42:57,False,4.4300000000000015
Assassins Creed Valhalla Deluxe Edition,2022,12.09,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,16.55,03/23/23 14:42:57,True,-4.460000000000001
Assassins Creed Valhalla Ultimate Edition,2021,47.52,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.5,03/23/23 14:42:57,False,0.020000000000003126
Assassins Creed Valhalla Gold Edition,2020,78.87,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,78.56,03/23/23 14:42:57,False,0.3100000000000023
Assassins Creed Valhalla The Way Of The Berserker,2020,1.75,03/24/23 06:45:05,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.75,03/23/23 14:42:57,False,0.0
