result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.95,04/17/23 07:59:55,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.95,04/16/23 17:41:43,False,0.0
Code Vein,2019,3.17,04/17/23 07:59:55,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.17,04/16/23 17:41:43,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,11.91,04/17/23 07:59:56,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,11.97,04/16/23 17:41:47,True,-0.06
Assassins Creed Valhalla Complete Edition,2019,28.2,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,23.74,04/16/23 17:41:49,False,4.46
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.89,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.89,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,13.19,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.19,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Deluxe Edition,2022,10.94,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,10.94,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla The Siege Of Paris,2021,20.81,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.81,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Wrath Of The Druids,2021,20.81,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.81,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Ultimate Edition,2021,48.46,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,48.46,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Gold Edition,2020,43.43,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,43.43,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla The Way Of The Berserker,2020,1.61,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.61,04/16/23 17:41:49,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,13.57,04/17/23 08:00:04,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,13.66,04/16/23 17:41:56,True,-0.09
Azure Striker Gunvolt 3,2020,3.36,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.36,04/16/23 17:41:50,False,0.0
Azure Striker Gunvolt 2,2022,2.2,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.2,04/16/23 17:41:50,False,0.0
Azure Striker Gunvolt,2016,2.68,04/17/23 07:59:57,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,7.68,04/16/23 17:41:50,True,-5.0
Batman Arkham Collection,2014,4.06,04/17/23 07:59:59,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,4.06,04/16/23 17:41:51,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2018,4.48,04/17/23 08:00:00,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,4.79,04/16/23 17:41:52,True,-0.31
Bayonetta,2020,3.69,04/17/23 08:00:00,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,3.69,04/16/23 17:41:52,False,0.0
Forza Horizon 4 Hot Wheels Legends Car Pack,2009,8.33,04/17/23 08:00:02,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.33,04/16/23 17:41:53,False,0.0
Forza Horizon 4 Barrett Jackson Car Pack,2021,2.68,04/17/23 08:00:02,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,2.68,04/16/23 17:41:53,False,0.0
Forza Horizon 4 Lego Speed Champions,2019,6.85,04/17/23 08:00:02,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,6.85,04/16/23 17:41:53,False,0.0
Forza Horizon 4 Ultimate Edition,2019,17.2,04/17/23 08:00:02,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,17.2,04/16/23 17:41:53,False,0.0
Forza Horizon 4,2018,10.29,04/17/23 08:00:02,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,10.29,04/16/23 17:41:53,False,0.0
