result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,8.08,11/02/22 15:45:53,8.09,11/01/22 09:06:08,True,-0.009999999999999787
Code Vein,2019,3.33,11/02/22 15:45:53,3.33,11/01/22 09:06:08,False,0.0
Dragon Ball Z Kakarot,2020,5.74,11/02/22 15:45:55,5.74,11/01/22 09:06:11,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,20.97,11/02/22 15:45:55,21.05,11/01/22 09:06:11,True,-0.08000000000000185
Dragon Ball Z Kakarot Deluxe Edition,2020,13.78,11/02/22 15:45:55,13.8,11/01/22 09:06:11,True,-0.02000000000000135
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.43,11/02/22 15:45:57,17.45,11/01/22 09:06:12,True,-0.019999999999999574
Assassins Creed Valhalla Complete Edition,2022,36.36,11/02/22 15:45:59,36.4,11/01/22 09:06:14,True,-0.03999999999999915
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.35,11/02/22 15:45:59,11.36,11/01/22 09:06:14,True,-0.009999999999999787
Assassins Creed Valhalla Ragnarok Edition,2022,14.59,11/02/22 15:45:59,14.61,11/01/22 09:06:14,True,-0.019999999999999574
Assassins Creed Valhalla Deluxe Edition,2021,13.32,11/02/22 15:45:59,13.43,11/01/22 09:06:14,True,-0.10999999999999943
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.76,11/02/22 15:45:59,16.78,11/01/22 09:06:14,True,-0.019999999999999574
Assassins Creed Valhalla,2020,9.3,11/02/22 15:45:59,9.31,11/01/22 09:06:14,True,-0.009999999999999787
Assassins Creed Valhalla Gold Edition,2020,40.49,11/02/22 15:45:59,40.54,11/01/22 09:06:14,True,-0.04999999999999716
Assassins Creed Valhalla Ultimate Edition,2020,43.11,11/02/22 15:45:59,43.16,11/01/22 09:06:14,True,-0.04999999999999716
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,17.7,11/02/22 15:45:59,17.73,11/01/22 09:06:14,True,-0.030000000000001137
Azure Striker Gunvolt 3,2022,6.3,11/02/22 15:46:01,6.31,11/01/22 09:06:16,True,-0.009999999999999787
Azure Striker Gunvolt 2,2016,2.96,11/02/22 15:46:01,2.97,11/01/22 09:06:16,True,-0.010000000000000231
Azure Striker Gunvolt,2014,4.41,11/02/22 15:46:01,4.42,11/01/22 09:06:16,True,-0.009999999999999787
Batman Arkham Collection,2018,8.48,11/02/22 15:46:03,8.49,11/01/22 09:06:18,True,-0.009999999999999787
Bayonetta Vanquish 10Th Anniversary Bundle,2020,16.19,11/02/22 15:46:05,16.21,11/01/22 09:06:20,True,-0.019999999999999574
Bayonetta,2009,7.06,11/02/22 15:46:05,6.74,11/01/22 09:06:20,False,0.3199999999999994
